title,content
8월6일첫공후기,"첫공으로 처음 연극을 보게 되었습니다.
 
연극의 배경이 80년대 미국이다 보니 그 시절을 산 사람들이 아니면 사실 조금 공감대가 어려울수있다 생각했습니다. 그래서 짧게 내용 요약되어있는 나무위키로 내용을 보고 관람하니 도움이 되더라구요.

보고 난 후 소감은 

배우님들의 연기가 최고였어요.
긴연극이라 대사가 엄청 많더라구요.. 와 저걸 다 외워서 저런 감정을 표현하는구나 대단하다 연습을 정말 많이 했겠구나..란 생각이 들더라구요.
첫공이라 대사 실수가 없는건 아니었지만 바로 잘 이어가시더라구요. 1부 2부 3부 가면서 연기들이 절정이 되었고 제일 기억에 남는 씬은 4명의 배우(프라이어,로이스,조,하퍼)들이 나오며 교차로 연기하는 장면이었습니다.
극 중간 중간 웃음포인트도 있었고 웃음포인트가 아닌데도 웃으시는분들도 있었습니다ㅎㅎ
전반적으로는 슬픈 내용인데 그렇다고 마냥 우울한극은 아니었어요.

내용은 동성애에 관련된 내용이라 호불호가 있을거같은데 저는 호였습니다.

보고 나서 다른 배우들의 연기 표현도 궁금해져서 9월공연으로 스케쥴 떳길래 또 예매했습니다.

예매하신분이라면 살짝 팁으로 연극보다 추우시다면 담요대여도 되더라구요. 겉옷 챙겨갔는데 딱 좋았어요.

꼭 파트2도 성사되길 바랍니다."
음..,"전 솔직히 별로였습니다
유치해서요!
커플끼리는 봐도 괜찮을것 같아요"
짜릿한 여름극복기,"무더운 여름날 공포가 빠지면 섭섭하자나요ㅎㅎ 처음으로 공포연극을 관람하게 됐는데 후회없는 선택이 된것같아요!! 세 배우님들이 풀타임 열연 펼치시는데 너무 빠져들어서 몰입감 장난아니었고, 열연+공포 분위기까지 더해져서 순식간에 추리 호러소설 본느낌이었어요!! 극쫄보인 저로서는 마지막에 극장나오면서 진이 다 빠져있었지만, 그걸 다 이길만큼 너무 내용이 탄탄하고 재밌는 연극이어서 만족스러웠습니당?? (추신: 너무 무서운거 못버티시는분들은 첫번째줄은 피하시는게 좋을것같아요!)"
짜릿한 여름극복기,"무더운 여름날 공포가 빠지면 섭섭하자나요ㅎㅎ 처음으로 공포연극을 관람하게 됐는데 후회없는 선택이 된것같아요!! 세 배우님들이 풀타임 열연 펼치시는데 너무 빠져들어서 몰입감 장난아니었고, 열연+공포 분위기까지 더해져서 순식간에 추리 호러소설 본느낌이었어요!! 극쫄보인 저로서는 마지막에 극장나오면서 진이 다 빠져있었지만, 그걸 다 이길만큼 너무 내용이 탄탄하고 재밌는 연극이어서 만족스러웠습니당?? (추신: 너무 무서운거 못버티시는분들은 첫번째줄은 피하시는게 좋을것같아요!)"
치유연극,"불편한 편의점을 보고
망원동브라더스를  보게되었는데
정말 휴식과 치유를 주는 연극입니다
이제 연남동이야기는 어떨지 기대가 됩니다"
가족(특히 아빠)과의 데이트에도 딱인 듯~,"두어 달간 아파서 누워 있다가, 나들이가 고파서 강행한 연극관람...아주 오랜만에 나간 대학로...제대로 충전을 하고 온 듯 하다.

아빠랑 동생들이랑 함께 권투 시합을 보던 기억이 떠오르고(이런 때가 있었구나....싶은...)...
고등학교 때 줄넘기 이단뛰기 체육실기시험...한 개밖에 뛸 수 없었던 운동 꽝인 딸에게,  운동 잘하시는 아빠가 가르쳐 주심...몇 주 동안 집중연습을 하고 만점 갯수에 도달했던 생각도 났다. 지금은 노쇠해진 아빠...감사해용!

링 위의 아빠와 딸......퍽!퍽!퍽퍽!
'아유후...관장님...좀 살살하시지이... 이쁜 딸래미를...'하는 안타까운 마음, 그리고  한편으로는 스파링하는 소리와 함께 가슴이 뻥 뚫린 듯 시원해지는 것 같았다.
사춘기 자녀를 둔 엄마아빠들...아이랑 스파링 한판 붙고 모든 갈등을 훌훌 다 날려버렸으면 좋.겠.다. 정말로!진심!!

마지막 즈음의 여러 퍼포먼스 씬들......
쇼츠에 있으면 무한정 돌려볼 것 같다.
그럴 수 없어 더 그리운 장면들이다.
배우들의 촘촘한?연기도 좋았고
잘은 모르지만 조명에도 관심이 가는 무대였다."
너무 재밌게 잘봤어요!!,관객참여 연극이라 더 신선하고 재밌게 본거 같아요!! 완전 강추하고 나중에 재관람 예정이에요!!
후기요 !,친구들이랑 웃다가 끝났네요 좋은 추억 감사헙니다 !!
파트2 기대합니다.,"배우분들의 열연으로  연극의 몰입감이 높아  집중해서 보느라 시간 가는 줄 모르고 잘~보았습니다.
80년대나 지금이나 별반 다른게 없다는게 안타갑네요...파트2 를 기대하겠습니다."
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
하이팝,너무 재밌어요~~
^^,재미있어요
플러스백 ! ??,"공연장이 뒷자리까지 무대가 정말 잘 보이는 공연장이고 공연장이 좁기보다 오히려 무대가 더 잘보여 아늑하고 좋았어요 ! 배우들연기에 감정이입도 잘되는 공연이였고 스토리가 정말 재미있어서 다른 배우가 나오는 공연에 다시 재관람할 의사가 정말 100% 였습니다 ! 
연극 보는것을 좋아하는데 이 연극 보고 더욱 연극에 빠지게 되었어요 정말 재미있었고 완전 + 100 입니다 !!"
상상의 세계가 눈앞에~,"그림그리기 좋아하는 여덟살 꼬꼬마들이 너무 행복해하며 봤어요~ 
더욱 즐겁게 상상하며 그림을 즐길수 있도록 응원하는 공연같았어요!! 
믿고보는 브러시씨어터의 두들팝시리즈!! 역시나 너무 즐거운 시간였고 배우님들 열연 멋지고~ 라이브 연주도 귀호강 시간 감사했어요!!"
하이팝,아이와 즐겁게 관람했어요~ 다른 버전도 관람하러갑니다~~
^^,재미있어요
혜화 연극 1위,"진짜 거짓말 하나도 안치고 요 근래 본 연극중에 제일 재밌었습니다 웃음이 마를일이 없었어요 혼자가도 재밌고 썸, 연애할때 가는거 진짜 다 좋을거 같아요!

맨앞자리에서 봤었는데 msg살짝 뿌리면 다리 쭉 뻗으면 발에 걸릴정도로 가까웠습니다 

301호 마혜리 언니 너무 예쁘시고
멀티맨분 진짜 개잘생기셨어요

나중에 또 보러갈 생각 있을정도로 재밌었습니다
소중한 추억 만들어주셔서 감사합니당??"
^^,재미있어요
^^,재미있어요
^^,재미있어요
엔젤스 인 아메리카,"200분이라는 공연시간이 무색하게 몰입해서 감상했습니다.

내용이 좀 어려웠지만 배우들의 열연덕에 흠뻑빠질수 있었고 재밌었어요.

파트2 기대됩니다."
폴리팝후기,"4살 아기도 재밌게 웃으면서 보았어요!!
너무 재밌습니다 추천!!"
하이팝,"너무 재미있게 보았어요~~
시각적 효과 짱이였습니당"
아이들과 보기 좋은 공연.,상상력가득 아이들이 좋아했어요~
설레임의 시작 꼭 보세요!,6가지 에피소드로 구성된 러브스토리~이제 막 사랑을 시작한 연인들권태기가 시작된 연인들추천합니다. 사랑이 막 시작될것같아요!
죽여주는 이야기 후기,이번이 연극 두번째인데 첫 연극보다 훨 재밌었어요 남자친구가 보고싶어해서 제가 골라서 데려갔는데 넘 재밌어해서 제가 다 뿌듯하고 공포를 바탕으로 계속해서 코미디를 만들어내시는 배우님들도 정말 대단하시고 애드립도 너무 자연스러워서 대사인 줄 알았어요 담에 또 보고싶어요! ??????????
즐거운 관람 이었습니다,초1 아이랑 같이 봤는데 지루해하지 않고 재밌게 보고 왔네요.
재치있고 기발한 공연!!,"아이들이 재밌다고 너무 좋아했던 공연입니다. 내용이 유쾌하고, 돈키호테 이야기를 너무 재미있게 아이들 눈높이에 맞게 풀어냈어요. 인형극이지만 배우들 표정, 몸짓이 살아있어서 더 재밌어요. 시간되면 꼭 보시길 추천드립니다!"
프랑스 모파상의 기묘한 이야기,"이 작품은 프랑스의 유명 작가 모파상의 단편소설을 6명의 배우들이 옴니버스식으로 풀어낸 연극이다.에피소드 별로 20분 정도의 시간을 할당하여, 에피소드를 담당한 배우가 소설을 읽어나가듯 극을 주도한다. <목걸이>, <달빛>, <보석> 이라는 주제로 각각 2명의 배우들이 쌍으로 연극을 진행하는데, 사실 제목 ''세여자 세남자''와는 전혀 무관하고, 마치 기묘한 이야기처럼 각 분절된 에피소드들이 독립적으로 운영된다. 인간의 허영심, 질투, 어긋난 사랑 등 다루기 불편한 마음 깊숙이 내재된 부정적인 생각들을 적나라하게 보여준다. 그러지 않을 것 같은 환경과 인성을 바탕으로 이야기를 시작하다가, 악한 성정을 지닌 사람으로 갑작스럽게 탈바꿈하면서 극적인 반전을 주고, 이로 인해 겉으로만 봐서는 알지 못하는 사람의 내재적 본성을 수면 위로 끌어낸다. 6명의 배우, 6개의 에피소드. 자칫 부담스럽게 전달할 수 있는 각기 다른 모파상의 소설을, 어링 아이에게 동화책을 읽어주는 부모님처럼, 친절하고 적절하게 구연하였다. 연극 마지막 날, 마지막 좌석을 가까스로 구매하여 볼 수 있어 나에게도 뜻깊은 공연이었다."
성북동 비둘기의 새로운 해석,"성북동 비둘기의 새로운 해석 원작의 억압과 본능, 사랑 이야기가 아닌청년들의 노동이야기로 풀어내는 연출이 새로웠다전작에서 봤던 것처럼 새로이 바라보는 연출의 시각이 흥미로웠고다양한 시도를 해본다는 점에서 생각할 거리가 많은 공연이었다"
태빈님 미모 레전드,속으로 온갖 주
파트투 보러갈께요!!!,"사전지식도 별로 없고, 200분이라는 시간도 만만치않았은데, 너~ 무 미리 걱정했더라고요..이야기의 내용도 어렵지 않게 풀어가 주시고, 여러 배우님들의 열연이 몰입도 있게 몰아가주시고, 무대구성도 재미있고, 인터미션후에도 몰입감있게 이어갈수 있도록 해주신 덕에 정~말 짧게 느껴진 시간이였습니다. 내용은 쓸쓸하고 짠했지만 시대는 계속 변하고 있으니까요..긴시간 열연해주신 배우님들의 연기와 도전에 박수를 드리며 덕분에 즐거운 주말이였네요^^"
최고입니다,감동이였어요. 오래오래 공연해주시길
죽여주는 이야기,엄마와 함께 재미있게 관람했습니다! 배우분들도 다 유쾌하고 좋으셨어요 좋은 관극이었습니다
죽여주는 이야기,너무 웃기고요 쿵푸팬더도 있고 원빈도 있어요 그니까 무조건 와서 연예인 관람하고 가세요~^^
죽여주는 이야기 관람 후기,엄마와 함께 즐겁게 관람했습니다 배우분들 다 유쾌하시고 친절하시고 좋으세요 재미있는 관극이었습니다 ??
여름방학 중 아이들과 대학로 나들이,아이들 여름 방학이라 대학로 나들이 와서 연극을 보여줬어요. 맨 앞자리여서 배우분들의 연기를 바로 앞에서 볼 수 있어서 좋았어요.즐겁게 웃으며 보다가 후반에 눈물 흘리는 장면까지 다~~ 좋았습니다. 아이들에게 좋은 경험이 된 것 같아 좋았습니다.
유승호 연기가 미쳤음 다른 사람인줄,진짜 놀람 너무 잘함
진짜 재밌음,"진짜 처음부터 끝까지 웃기고 재밌어요 
더 크게 되야한다고 생각하는 연극입니다 ㅠㅠ"
놀라운 세상을 만났어요.,"처음부터 끝까지 놀라운 마법이 펼쳐지는
곳입니다. 마지막으로 갈수록 놀랍고 신비하네요. 집에가서 빨리 상상하고 그림을 그리고 싶도록 하는 시간이었습니다. 좋은공연 감사해요"
역대급 연극,"유승호 배우님 연극 소식에 서둘러 예매했어요. 큰 규모의 연극은 처음인데 최고의 경험이었습니다. 배우들 진한 연기에 몰입하여 잠시나마 함께 밀레니엄 시대 사람으로, 또 현재 우리의 민낯은 어떤가 생각해보게 되더라고요. 여운이 남는 연극입니다."
"배우들의 안정된 연기와 또렷한 발음, 단단한 발성","내용도 흥미롭지만 그걸 전달하는 배우들의 안정된 연기와 또렷한 발음, 단단한 발성이 마음에 들었다.바로 도서관에 모파상 단편집 예약함."
좋은 희곡,희곡이 좋은건 알겠는데 60대중반 인물들을 30대배우가 연기한 의도가 무엇인지... 손주 얘기도 나오고 쭈구렁 이라는 둥 대사도 나오는데 몸도 얼굴도 목소리도 너무 젊은 배우들이...  집중이 안되고 계속 아쉽다는 생각만...ㅠ
최고의공연♡,"와~~~~!
이정도 일줄은 진짜 몰랐네요~~~!
아이가 지루할틈 없이
너무 신나했어요~~~^^
덕분에 저도 신나게 관람 했습니다 ^^"
너무 재미있게 봤어요!,처음에는 시간이 너무길어서 조금 힘들겠다라고 생각했었는데 ''벌써 인터미션이야''라는 생각이 들 정도로 빠져든것 같아요. 배경이 조금 어려운 점도 있었지만 재미있게 봤습니다. 배우님들의 연기도 너무 잘하셔서 놀랬습니다. 평소에 뮤지컬만 보다가 연극은 처음 봤는데 연극이라는 장르에도 빠질 듯 해요.  다른 날짜에도 재예매했어요! 또 보러 갈게요!!
힐링 연극..,"2001년을 배경으로 아날로그 감성을 한껏 자극해 주는 연극입니다. 지금도 그렇지만 당시에도 꿈을 좇는 젊은이들은 힘들게 살았습니다. 그러함에도 주변에 힘이 되는 가족과 희망, 사랑이 있기에 그들의 삶은 보람 있었습니다. 배우들의 연기가 정말 자연스럽고, 편안합니다. 억지 감동을 유발하는 요소도 없습니다. 그렇지만 즐겁다가도 조금은 슬퍼지는 작품입니다. 일본인 여성 유까 역을 맡은 박지예 배우의 일본어 연기가 꽤나 인상 깊었습니다.. 좋은 작품입니다. 당연히 추천해야겠죠.."
울다웃다 시간가는줄 몰랐어요,"아이와 볼만한 연극찾다가 예매했어요
한분 빼고 멀티로 하셨는데 각 캐릭터마다 특징있게 연기 잘하시더라구요
울다 웃다 나온것 같아요
아이도 정말 즐거웠다고 합니다"
아이가 믿고보는 팝시리즈!,"두들팝부터 아이가 정말 좋아했는데
하이팝도 너무 재밌게 관람했어요:)
폴리팝도 아직 안봐서 다음에 폴리팝까지
봐보려구요:) 아이랑 공연 뭐볼지고민하신다면
적극추천합니다^^"
