title,content
우와 감탄입니다,여러명의 합창이 조화로와서 한사람이 내듯 하나로 들리고솔리스트 네분 지휘 연주 모두 훌륭하고 감동적이었습니다.
재관람 의사 100%,어디서 이런 노래들의 오케스트라 편곡을 들어보겠어요! 연주자분들도 엄청 열정적이시고 편곡도 너무 좋아서 두시간동안 행복했습니다. 저는 기대 안한 saying ain't so가 뜻밖에 너무 좋아서 보물을 발견한 느낌이었어요ㅎㅎ 다음에 또 근처에 온다면 다시 가고 싶습니다!
오케스트라 짱~,"오케스트라를 처음 직관해봤는데 귀정화,마음정화라는게 확 느껴졌습니다. 자주자주 직관하면 좋을꺼같네요"
기립박수를 보냅니다!!!!!,"어제 연주회 봤었던 사람입니다. 태어나서 정말 공연 후 기립박수를 치고 싶었던 유일한 공연인데 차마 일어날 용기가 없었어요. 아직도 후회됩니다.ㅜㅜ 너무 너무 열정 넘치고 즐거운 공연이었어요.
(아쉬운건 다음 공연 예약 안내를 여러번이 아닌 한번만 해주셨으면 더 좋았을듯해요.^^ 지휘자님이 너무 애타게 그러시는게 제가 마음이 아팠어요 ㅠㅠ)"
유쾌하고 행복했던 오케스트라 공연!,일단 연주곡이 클래식이 아닌 밴드곡 중심의 곡이긴 했으나오케스트라 연주이다 보니 풍부한 사운드가 다른 매력을 주었던 공연이었습니다. 무엇보다 지휘자 백윤학님의 유쾌한 멘트와 오케스트라 공연을 대중에게 어렵지 않게 다가가게 하실려고 하는 마음이 너무 좋았습니다. 공연이 끝난 후 관객들과 같이 포토타임을 가져주시는 팬서비스 까지!정말 다시 보고 싶은 공연이었습니다. (부산까지 찾아가 볼까 진지하게 고민했었던..)더불어 처음 접했던 서울 페스타 필하모닉에 대해서도 많은 관심을 가지게 되었습니다.다음 공연도 기대하며 기회가 있을때마다 관람할 계획입니다!정말 제대로 팬이 되었어요~좋은 공연을 기획하고 만들어주셔서 감사드립니다.
돈조바니 오페라 보고나서,"조금 우습지만, 가성비갑인 오페라 였네요.항상 금액이 부담이 되어서 자주 접하지 못했는데, 오랜만에 즐겁고 만족스러운 오페라 공연이었습니다자주 이런 공연이 많았으면 좋겠어요. 감사합니다."
클래식 라이징스타(날다-광주),광주시 오케스트라와 각 라이징 스타들의 협연이 매우 좋았습니다. 특히 두번째 순서 피아니스트와 오케스트라의 주고받는 듯한 협연이 좋았습니다. 앞으로도 이런공연이 자주 개최되었으면 좋겠습니다!!!
공연 자체는 좋았어요,초대권을 많이 풀어서 관람객 에티켓이 별로였습니다티켓도 비싼데 서울공연은 180분 광주공연은 90분 그것도 별로였네요
좋은공연 덕분에 귀와 눈이 호강했습니다.,센스있고 멋진지휘 아래 도도히 일사불란 하던 군단을 지켜보며 저도 덩달아 땀을지고 지켜보며 귀귀울였습니다 행복했습니다 좋은구성 연주 지휘 모두 감사합니다
즐거운 공연이었습니다,아이들과 함께 즐겁게 잘 보았습니다~
기품 있는 연주와 시 낭송,"그래, 첼로는 이런 악기였지. 내게 위로를 주는 소리였지.피아니스트가 연주하는 모습이 이렇게 매력적일 수 있구나.첼리스트 홍진호의 연주하는 모습은 정말 기품이 넘치는구나.반도네온과 첼로가 이렇게 잘 어울리는구나.나 슈베르트 좋아했네."
좋은 공연,좋은 공연장에서 좋은 연주자가 연주하는 것은 언제봐도 즐거운 일입니다.
너무 듣기 좋았어요!,영화보면서 늘 실제로 듣고싶었던 ost를 직접 들을수있어서  너무 행복했어요!:)
1부는 오케의 호흡이 살짝 아쉬웠지만 2부는 좋았어요,그래도 좋아하는 5번 교향곡을 오랜만에 실황으로 들어서 심장 뛰었습니다!
